y_keV_per_um,f_y,yf_y,d_y,yd_y
0.0301337,0.000111976,3.37425e-06,5.46169e-06,1.64581e-07
0.0302374,0.000111764,3.37945e-06,5.47011e-06,1.65402e-07
0.0303415,0.000113265,3.43663e-06,5.56265e-06,1.68779e-07
0.0304459,0.000109201,3.32473e-06,5.38153e-06,1.63845e-07
0.0305507,0.000112198,3.42772e-06,5.54824e-06,1.69503e-07
0.0306559,0.000110182,3.37774e-06,5.46734e-06,1.67606e-07
0.0307614,0.000113416,3.48883e-06,5.64715e-06,1.73714e-07
0.0308673,0.000115602,3.56831e-06,5.7758e-06,1.78283e-07
0.0309735,0.000110595,3.42552e-06,5.54468e-06,1.71738e-07
0.0310802,0.000150888,4.68964e-06,7.59083e-06,2.35925e-07
0.0311872,0.000119339,3.72185e-06,6.02433e-06,1.87882e-07
0.0312945,0.00011369,3.55786e-06,5.75888e-06,1.80221e-07
0.0314022,0.000117964,3.70434e-06,5.99598e-06,1.88287e-07
0.0315103,0.000113612,3.57994e-06,5.79463e-06,1.82591e-07
0.0316188,0.000118876,3.75871e-06,6.08399e-06,1.92368e-07
0.0317276,0.000117903,3.74078e-06,6.05496e-06,1.92109e-07
0.0318368,0.000120028,3.82129e-06,6.18529e-06,1.9692e-07
0.0319464,0.000115571,3.69209e-06,5.97615e-06,1.90917e-07
0.0320564,0.000116836,3.74535e-06,6.06237e-06,1.94338e-07
0.0321667,0.000117867,3.7914e-06,6.13691e-06,1.97404e-07
0.0322775,0.000127142,4.10383e-06,6.64261e-06,2.14407e-07
0.0323886,0.000138302,4.4794e-06,7.25052e-06,2.34834e-07
0.0325001,0.000123111,4.00113e-06,6.47638e-06,2.10483e-07
0.0326119,0.000117255,3.82391e-06,6.18953e-06,2.01852e-07
0.0327242,0.000119003,3.89428e-06,6.30343e-06,2.06275e-07
0.0328368,0.000116992,3.84165e-06,6.21824e-06,2.04187e-07
0.0329499,0.00014517,4.78333e-06,7.74248e-06,2.55114e-07
0.0330633,0.000121508,4.01747e-06,6.50283e-06,2.15005e-07
0.0331771,0.000123598,4.10061e-06,6.63741e-06,2.2021e-07
0.0332913,0.000119001,3.96169e-06,6.41255e-06,2.13482e-07
0.0334059,0.000124226,4.14989e-06,6.71717e-06,2.24393e-07
0.0335209,0.000120498,4.03919e-06,6.53799e-06,2.19159e-07
0.0336363,0.000122125,4.10784e-06,6.6491e-06,2.23651e-07
0.0337521,0.000117184,3.9552e-06,6.40204e-06,2.16082e-07
0.0338682,0.000127086,4.30418e-06,6.96691e-06,2.35957e-07
0.0339848,0.000123515,4.19764e-06,6.79445e-06,2.30908e-07
0.0341018,0.000124793,4.25565e-06,6.88836e-06,2.34905e-07
0.0342192,0.000122196,4.18144e-06,6.76824e-06,2.31604e-07
0.034337,0.000121117,4.15879e-06,6.73158e-06,2.31142e-07
0.0344552,0.00012266,4.22627e-06,6.8408e-06,2.35701e-07
0.0345738,0.000127529,4.40916e-06,7.13683e-06,2.46747e-07
0.0346928,0.000123929,4.29945e-06,6.95925e-06,2.41436e-07
0.0348122,0.00012199,4.24673e-06,6.87392e-06,2.39296e-07
0.034932,0.000123767,4.32344e-06,6.99808e-06,2.44457e-07
0.0350523,0.00018235,6.39178e-06,1.0346e-05,3.6265e-07
0.035173,0.000126793,4.4597e-06,7.21863e-06,2.53901e-07
0.035294,0.000128462,4.53394e-06,7.3388e-06,2.59016e-07
0.0354155,0.000126899,4.49419e-06,7.27446e-06,2.57629e-07
